category;title;fnacUrl;descSub;price;imgLink;review;reviewNumber
"Musique, CD, Vinyles";"Cold Fact";"https://www.fnac.com/a13565514/Sixto-Rodriguez-Cold-Fact-CD-album";"Sixto Rodriguez (Interprète) (CD album) fnac+ 5 ( 5 )";15;"https://static.fnac-static.com/multimedia/Images/FR/NR/cd/80/aa/11174093/1545-1/tsp20191216100113/Cold-Fact.jpg";"5";5
"Musique, CD, Vinyles";"N'attendons pas";"https://www.fnac.com/a15118122/Vianney-N-attendons-pas-CD-album";"Vianney (Interprète) (CD album) fnac+ 5 ( 230 )  Coups de cœur des disquaires ( 1 )";15.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/be/8d/c1/12684734/1545-1/tsp20200921103143/N-attendons-pas.jpg";"5";230
"Musique, CD, Vinyles";"Mesdames";"https://www.fnac.com/a14869623/Grand-Corps-Malade-Mesdames-CD-album";"Grand Corps Malade (Interprète) (CD album) fnac+ 5 ( 365 )  Coups de cœur des disquaires ( 3 )";14.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/d4/e8/bd/12445908/1545-1/tsp20200618142118/Mesdames.jpg";"5";365
"Musique, CD, Vinyles";"Coming From Reality";"https://www.fnac.com/a13565515/Sixto-Rodriguez-Coming-From-Reality-CD-album";"Sixto Rodriguez (Interprète) (CD album) fnac+ 5 ( 1 )";15;"https://static.fnac-static.com/multimedia/Images/FR/NR/ce/80/aa/11174094/1545-1/tsp20200326174208/Coming-From-Reality.jpg";"5";1
"Musique, CD, Vinyles";"Map Of The Soul : 7";"https://www.fnac.com/a13455842/BTS-Bangtan-Boys-Map-Of-The-Soul-7-CD-album";"BTS (Bangtan Boys) (Interprète) (CD album) fnac+ 5 ( 327 )  Coups de cœur des disquaires ( 1 )";29.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/4f/e5/a8/11068751/1545-1/tsp20200214120116/Map-Of-The-Soul-7.jpg";"5";327
"Musique, CD, Vinyles";"All I Know So Far Setlist";"https://www.fnac.com/a15952780/Pink-All-I-Know-So-Far-Setlist-CD-album";"Pink (Interprète) (CD album) fnac+ 5 ( 3 )  Coups de cœur des disquaires ( 1 )";14.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/d0/fe/cd/13500112/1545-1/tsp20210506132121/All-I-Know-So-Far-Setlist.jpg";"5";3
"Musique, CD, Vinyles";"Mesdames Vinyle Blanc";"https://www.fnac.com/a14869624/Grand-Corps-Malade-Mesdames-Vinyle-Blanc-Vinyle-album";"Grand Corps Malade (Interprète) (Vinyle album) fnac+ 5 ( 35 )  Coups de cœur des disquaires ( 2 )";19.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/d5/e8/bd/12445909/1545-1/tsp20200619114122/Mesdames-Vinyle-Blanc.jpg";"5";35
"Musique, CD, Vinyles";"BE Edition Essentielle";"https://www.fnac.com/a15671433/BTS-Bangtan-Boys-BE-Edition-Essentielle-CD-album";"BTS (Bangtan Boys) (Interprète) (CD album) fnac+ 5 ( 24 )";30.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/75/ec/c9/13233269/1545-1/tsp20210125103056/BE-Edition-Eentielle.jpg";"5";24
"Musique, CD, Vinyles";"Fortitude";"https://www.fnac.com/a15727173/Gojira-Fortitude-CD-album";"Gojira (Interprète) (CD album) fnac+ 5 ( 14 )  Coups de cœur des disquaires ( 2 )";16.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/38/bb/ca/13286200/1545-1/tsp20210215141142/Fortitude.jpg";"5";14
"Musique, CD, Vinyles";"After Hours";"https://www.fnac.com/a13455865/The-Weeknd-After-Hours-Vinyle-album";"The Weeknd (Interprète) (Vinyle album) fnac+ 5 ( 4 )";26.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/66/e5/a8/11068774/1545-1/tsp20200219113126/After-Hours.jpg";"5";4
"Musique, CD, Vinyles";"BE Edition Deluxe";"https://www.fnac.com/a15130638/BTS-Bangtan-Boys-BE-Edition-Deluxe-CD-album";"BTS (Bangtan Boys) (Interprète) (CD album) fnac+ 5 ( 285 )  Coups de cœur des disquaires ( 1 )";56.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/7b/b8/c1/12695675/1545-1/tsp20201202100122/BE-Edition-Deluxe.jpg";"5";285
"Musique, CD, Vinyles";"Californian Soil";"https://www.fnac.com/a15165840/London-Grammar-Californian-Soil-CD-album";"London Grammar (Interprète) (CD album) Inclus un livret fnac+ 5 ( 18 )  Coups de cœur des disquaires ( 2 )";14.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/20/40/c2/12730400/1545-1/tsp20201001141310/Californian-Soil.jpg";"5";18
"Musique, CD, Vinyles";"Love Yourself Answer Inclus un livret";"https://www.fnac.com/a12668786/BTS-Bangtan-Boys-Love-Yourself-Answer-Inclus-un-livret-CD-album";"BTS (Bangtan Boys) (Interprète) (CD album). 2 volumes fnac+ 5 ( 104 )";26.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/1b/7a/9d/10320411/1545-1/tsp20180817084024/Love-Yourself-Answer-Inclus-un-livret.jpg";"5";104
"Musique, CD, Vinyles";"Bohemian Rhapsody Double Vinyle";"https://www.fnac.com/a13147156/Freddie-Mercury-Bohemian-Rhapsody-Double-Vinyle-Vinyle-album";"Freddie Mercury (Compositeur), Queen (Interprète) (Vinyle album). 2 volumes fnac+ 5 ( 50 )  Coups de cœur des disquaires ( 1 )";33;"https://static.fnac-static.com/multimedia/Images/FR/NR/f4/64/a4/10773748/1545-1/tsp20190116115202/Bohemian-Rhapsody-Double-Vinyle.jpg";"5";50
"Musique, CD, Vinyles";"Penso A Te";"https://www.fnac.com/a15231630/Claudio-Capeo-Penso-A-Te-CD-album";"Claudio Capéo (Interprète) (CD album) Inclus un livret de 30 pages fnac+ 5 ( 157 )  Coups de cœur des disquaires ( 1 )";15.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/96/2c/c3/12790934/1545-1/tsp20201022154104/Penso-A-Te.jpg";"5";157
"Musique, CD, Vinyles";"aimée";"https://www.fnac.com/a14961644/Julien-Dore-aimee-CD-album";"Julien Doré (Interprète) (CD album) Inclus un livret 20 pages fnac+ 5 ( 162 )  Coups de cœur des disquaires ( 2 )";15.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/dd/43/bf/12534749/1545-1/tsp20201120104048/aimee.jpg";"5";162
"Musique, CD, Vinyles";"Ici-Bas";"https://www.fnac.com/a15772362/Gerard-Lanvin-Ici-Bas-CD-album";"Gérard Lanvin (Interprète) (CD album) fnac+ 5 ( 10 )";15.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/f3/61/cb/13328883/1545-1/tsp20210409162233/Ici-Bas.jpg";"5";10
"Musique, CD, Vinyles";"Adios Bahamas";"https://www.fnac.com/a14186845/Nepal-Adios-Bahamas-Vinyle-album";"Népal (Interprète) (Vinyle album) fnac+ 5 ( 24 )  Coups de cœur des disquaires ( 1 )";19.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/e4/36/b3/11744996/1545-1/tsp20200720084205/Adios-Bahamas.jpg";"5";24
"Musique, CD, Vinyles";"La Direction";"https://www.fnac.com/a15890260/Sofiane-La-Direction-CD-album";"Sofiane (Interprète) (CD album) fnac+ 5 ( 2 )  Coups de cœur des disquaires ( 1 )";12.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/5d/1a/cd/13441629/1545-1/tsp20210423165303/La-Direction.jpg";"5";2
"Musique, CD, Vinyles";"The Dark Side Of The Moon";"https://www.fnac.com/a3684985/Pink-Floyd-The-Dark-Side-Of-The-Moon-Vinyle-album";"Pink Floyd (Interprète) (Vinyle album) fnac+ 5 ( 36 )  Coups de cœur des disquaires ( 1 )";20.99;"https://static.fnac-static.com/multimedia/Images/FR/NR/e2/e5/33/3401186/1545-1/tsp20161004140815/The-dark-side-of-the-moon-Remasterise.jpg";"5";36
